date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:04	49055/49055	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:26:56%20GMT	http://192.168.56.1:8000/fullsize/4.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fullsize/4.jpg	(from http://192.168.56.1:8000/index.html)
11:27:09	62334/62334	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:27:00%20GMT	http://192.168.56.1:8000/fullsize/5.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fullsize/5.jpg	(from http://192.168.56.1:8000/index.html)
11:27:15	53428/53428	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:27:06%20GMT	http://192.168.56.1:8000/fullsize/6.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fullsize/6.jpg	(from http://192.168.56.1:8000/index.html)
11:27:28	79742/79742	---M--	200	added ('OK')	text/javascript	date:Tue,%2018%20Oct%202022%2004:27:15%20GMT	http://192.168.56.1:8000/assets/bootstrap/js/bootstrap.min.js	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/assets/bootstrap/js/bootstrap.min.js	(from http://192.168.56.1:8000/index.html)
11:27:30	9577/9577	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d72-2569%22	https://cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.11.1/baguetteBox.min.js	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.11.1/baguetteBox.min.js	(from http://192.168.56.1:8000/index.html)
11:27:30	1368/1368	---M--	200	added ('OK')	text/javascript	date:Tue,%2018%20Oct%202022%2004:27:30%20GMT	http://192.168.56.1:8000/assets/js/creative.js	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/assets/js/creative.js	(from http://192.168.56.1:8000/index.html)
11:27:31	1704/1704	---M--	200	added ('OK')	text/javascript	date:Tue,%2018%20Oct%202022%2004:27:30%20GMT	http://192.168.56.1:8000/js/livereload.js	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/js/livereload.js	(from http://192.168.56.1:8000/index.html)
11:27:38	9775/9775	---M--	200	added ('OK')	text/html	date:Tue,%2018%20Oct%202022%2004:27:36%20GMT	http://192.168.56.1:8000/	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/index-2.html	(from http://192.168.56.1:8000/bootstrap/css/bootstrap.min.css)
11:27:58	372641/372641	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:26:57%20GMT	http://192.168.56.1:8000/thumbnails/colin-meg-H7yPF5oZuYE-unsplash.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/thumbnails/colin-meg-H7yPF5oZuYE-unsplash.jpg	(from http://192.168.56.1:8000/index.html)
11:28:05	165742/165742	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2018%20Oct%202022%2004:27:38%20GMT	http://192.168.56.1:8000/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fonts/fontawesome-webfont3e6e.eot	(from http://192.168.56.1:8000/fonts/font-awesome.min.css)
11:28:18	77160/77160	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2018%20Oct%202022%2004:28:05%20GMT	http://192.168.56.1:8000/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fonts/fontawesome-webfont3e6e.woff2	(from http://192.168.56.1:8000/fonts/font-awesome.min.css)
11:28:20	448262/448262	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:27:05%20GMT	http://192.168.56.1:8000/thumbnails/nat-callaghan-IEmaR3ecfuY-unsplash.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/thumbnails/nat-callaghan-IEmaR3ecfuY-unsplash.jpg	(from http://192.168.56.1:8000/index.html)
11:28:25	165742/165742	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2018%20Oct%202022%2004:27:58%20GMT	http://192.168.56.1:8000/fonts/fontawesome-webfont.eot?	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fonts/fontawesome-webfontd41d.eot	(from http://192.168.56.1:8000/fonts/font-awesome.min.css)
11:28:25	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2018%20Oct%202022%2004:28:25%20GMT	http://192.168.56.1:8000/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fonts/fontawesome-webfont3e6e.svg	(from http://192.168.56.1:8000/fonts/font-awesome.min.css)
11:28:32	98024/98024	---M--	200	added ('OK')	application/font-woff	date:Tue,%2018%20Oct%202022%2004:28:18%20GMT	http://192.168.56.1:8000/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fonts/fontawesome-webfont3e6e.woff	(from http://192.168.56.1:8000/fonts/font-awesome.min.css)
11:28:39	165548/165548	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2018%20Oct%202022%2004:28:20%20GMT	http://192.168.56.1:8000/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fonts/fontawesome-webfont3e6e.ttf	(from http://192.168.56.1:8000/fonts/font-awesome.min.css)
11:28:40	625715/625715	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:27:09%20GMT	http://192.168.56.1:8000/thumbnails/samuel-regan-asante-abV5LdRGo_k-unsplash.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/thumbnails/samuel-regan-asante-abV5LdRGo_k-unsplash.jpg	(from http://192.168.56.1:8000/index.html)
